hour,Load,Nuclear,Hydro,OtherRenewables,Psolar_av_3621133,Pwind_av_994997,Pthermal_83,Pthermal_98,Pthermal_106,Pthermal_147,Pthermal_162,Pthermal_163,Pthermal_167,Pthermal_170,Pthermal_221,Pthermal_223,Pthermal_224,Pthermal_235,Pthermal_241,Pcha_Li-Ion,Pcha_Vanadium,Pcha_PHS,Pcha_H2,Pdis_Li-Ion,Pdis_Vanadium,Pdis_PHS,Pdis_H2,SOC_Li-Ion,SOC_Vanadium,SOC_PHS,SOC_H2,Pimp,Pexp,Curtailment_solar,Curtailment_wind,Curtailment_total
1,3.24965,0.0,0.0,0.0,0.0,4.91196612844404,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.66231612844404,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.290190598029692,0.0,0.0,237.22451806282902,0.0,0.0,0.0,0.0,0.0
2,3.19965,0.0,0.0,0.0,0.0,6.61385142717768,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.41420142717768,0.0,0.0,0.0,0.0,12.290190598029692,0.0,0.0,239.38384864292482,0.0,0.0,0.0,0.0,0.0
3,3.11066,0.0,0.0,0.0,0.0,6.18435154678104,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.07369154678104,0.0,0.0,0.0,0.0,12.290190598029692,0.0,0.0,241.32782186545163,0.0,0.0,0.0,0.0,0.0
4,3.05032,0.0,0.0,0.0,0.0,5.41948437493056,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.36916437493056,0.0,0.0,0.0,0.0,12.290190598029692,0.0,0.0,242.82621298067357,0.0,0.0,0.0,0.0,0.0
5,2.97037,0.0,0.0,0.0,0.0,5.69406435047388,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.72369435047388,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.801312713256834,0.0,0.0,242.82621298067357,0.0,0.0,0.0,0.0,0.0
6,2.98683,0.0,0.0,0.0,0.0,4.65685085773296,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.6700208577329598,0.0,0.0,0.0,0.0,14.801312713256834,0.0,0.0,243.8824269107584,0.0,0.0,0.0,0.0,0.0
7,3.09655,0.0,0.0,0.0,0.0,2.77467771915972,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3218722808402803,0.0,0.0,0.0,14.452193207047749,0.0,0.0,243.8824269107584,0.0,0.0,0.0,0.0,0.0
8,3.26422,0.0,0.0,0.0,0.0,2.0533668130404,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2108531869596,0.0,0.0,0.0,13.138838526056125,0.0,0.0,243.8824269107584,0.0,0.0,0.0,0.0,0.0
9,3.57233,0.0,0.0,0.0,0.0,1.02444975186732,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.54788024813268,0.0,0.0,0.0,10.375274382583457,0.0,0.0,243.8824269107584,0.0,0.0,0.0,0.0,0.0
10,3.78589,0.0,0.0,0.0,0.0,0.18938200521204002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.5965079947879603,0.0,0.0,0.0,6.47431375329441,0.0,0.0,243.8824269107584,0.0,0.0,0.0,1.6653345369377348e-16,1.6653345369377348e-16
